City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Castro,20,CL,1567229969,100,-42.48,-73.76,39.2,2.24
Stutterheim,20,ZA,1567229969,66,-32.57,27.43,55.4,13.87
Kalmunai,100,LK,1567229969,34,7.42,81.82,94.91,6.87
Dunedin,0,NZ,1567229887,58,-45.87,170.5,55.0,8.01
Manta,0,RO,1567229970,49,45.1,24.1,71.15,3.2
New Norfolk,0,AU,1567229970,36,-42.78,147.06,64.0,17.22
Kansanshi,0,ZM,1567229971,27,-12.1,26.43,72.05,8.86
Te Anau,38,NZ,1567229971,86,-45.41,167.72,46.49,8.77
Atar,87,MR,1567229971,55,20.52,-13.05,87.35,14.7
Talnakh,40,RU,1567229972,71,69.49,88.39,55.4,15.66
Nalut,90,LY,1567229972,91,31.86,10.98,70.61,15.14
Ngunguru,0,NZ,1567229973,71,-35.62,174.5,56.57,10.87
Bredasdorp,23,ZA,1567229973,81,-34.53,20.04,52.0,9.17
Half Moon Bay,1,US,1567229973,77,37.46,-122.43,66.2,13.87
Tasiilaq,0,GL,1567229974,56,65.61,-37.64,41.0,2.24
Port Elizabeth,1,US,1567229974,82,39.31,-74.98,73.99,4.72
Oranjestad,20,AW,1567229741,78,12.52,-70.03,82.4,14.99
Ostrovnoy,48,RU,1567229974,80,68.05,39.51,59.09,16.89
Qaanaaq,95,GL,1567229975,50,77.48,-69.36,40.19,11.72
Nanortalik,1,GL,1567229975,89,60.14,-45.24,41.09,2.51
Novyy Urengoy,52,RU,1567229975,61,66.08,76.63,54.41,21.47
Esperance,40,AU,1567229976,55,-33.86,121.89,64.4,24.16
Bharatpur,19,IN,1567229908,42,27.22,77.5,97.97,5.86
Yellowknife,20,CA,1567229977,70,62.45,-114.38,42.8,5.82
Petukhovo,100,RU,1567229977,90,55.06,67.89,46.49,16.93
Dingle,95,PH,1567229978,85,11.0,122.67,80.69,3.27
Dikson,100,RU,1567229978,94,73.51,80.55,40.37,14.97
Sumbe,70,AO,1567229978,88,-11.2,13.84,68.63,6.06
Rorvik,83,NO,1567229979,88,64.86,11.24,59.0,1.01
Hobart,0,AU,1567229979,36,-42.88,147.33,64.0,17.22
Chuy,67,UY,1567229979,79,-33.69,-53.46,51.71,8.86
Touros,40,BR,1567229980,88,-5.2,-35.46,71.6,3.36
Tongren,100,CN,1567229980,65,27.72,109.18,77.45,7.16
Taihe,36,CN,1567229980,40,26.8,114.92,88.61,6.55
Henties Bay,0,NA,1567229981,88,-22.12,14.28,45.0,17.78
Port Alfred,13,ZA,1567229981,76,-33.59,26.89,55.99,13.0
Vao,57,EE,1567229981,79,59.1,26.19,61.43,6.29
San-Pedro,94,CI,1567229982,98,4.75,-6.64,70.43,2.3
Yumen,0,CN,1567229982,11,40.29,97.04,88.79,18.03
Carnarvon,0,ZA,1567229982,75,-30.97,22.13,39.11,18.77
Havelock,1,US,1567229684,78,34.88,-76.9,77.0,2.71
General Roca,0,AR,1567229983,61,-39.03,-67.58,46.4,4.7
La Ronge,20,CA,1567229983,76,55.1,-105.3,53.6,4.7
Uch,75,FR,1567229984,93,45.32,-0.93,68.0,4.7
Faanui,0,PF,1567229984,77,-16.48,-151.75,77.81,10.67
Blankenberge,0,BE,1567229984,87,51.31,3.13,57.99,4.7
Abha,0,SA,1567229985,17,18.22,42.5,77.0,4.79
Pangnirtung,100,CA,1567229985,84,66.15,-65.72,41.99,4.72
Mahebourg,75,MU,1567229985,60,-20.41,57.7,75.99,18.34
Tiznit,50,MA,1567229986,90,29.7,-9.73,66.83,8.61
Nynashamn,100,SE,1567229986,93,58.9,17.95,61.0,3.36
Adrar,95,DZ,1567229986,33,27.87,-0.29,86.0,13.87
Hofn,100,IS,1567229987,86,64.25,-15.21,32.27,16.44
Povorino,13,RU,1567229987,80,51.2,42.24,64.99,5.17
East London,20,ZA,1567229987,66,-33.02,27.91,55.4,13.87
Wuwei,0,CN,1567229988,21,37.93,102.64,79.79,8.1
Port Lavaca,1,US,1567229988,88,28.61,-96.63,82.4,6.93
Marystown,98,CA,1567229988,98,47.17,-55.16,63.41,5.86
Namatanai,100,PG,1567229989,82,-3.66,152.44,79.79,22.01
Turukhansk,90,RU,1567229989,50,65.8,87.96,64.13,14.81
Emirdag,0,TR,1567229989,76,39.02,31.15,57.2,5.82
Tuatapere,53,NZ,1567229990,85,-46.13,167.69,52.0,14.0
Sabang,100,PH,1567229990,82,13.8,121.11,81.05,5.91
Palmer,0,AU,1567229756,30,-34.85,139.16,72.0,23.04
Lompoc,90,US,1567229833,93,34.64,-120.46,64.99,5.82
Souillac,0,FR,1567229991,88,45.6,-0.6,64.4,4.7
Geraldton,5,CA,1567229991,93,49.72,-86.95,44.6,2.24
Kayerkan,40,RU,1567229991,71,69.35,87.76,55.4,15.66
Pisco,2,PE,1567229992,87,-13.71,-76.2,57.0,4.7
Fallon,1,US,1567229992,87,46.84,-105.12,55.4,4.7
Popondetta,55,PG,1567229993,89,-8.77,148.24,72.05,2.48
Bayan,46,CN,1567229993,43,36.1,102.26,65.57,1.39
Gamboula,96,CF,1567229993,98,4.12,15.14,67.73,3.8
Fortuna,1,US,1567229993,87,40.6,-124.16,60.01,13.35
Santa Marta,75,CO,1567229994,83,11.24,-74.21,84.2,6.93
Baykit,65,RU,1567229994,51,61.68,96.39,67.01,11.43
Lakhdenpokhya,87,RU,1567229995,80,61.52,30.2,63.0,4.23
Okhotsk,82,RU,1567229995,72,59.36,143.24,60.89,11.88
Watsa,98,CD,1567229995,96,3.04,29.53,68.81,2.37
Guerrero Negro,50,MX,1567229996,88,27.97,-114.04,68.81,11.54
Kimbe,40,PG,1567229996,56,-5.56,150.15,86.27,8.16
Hami,80,CN,1567229996,7,42.84,93.51,98.15,8.23
Luangwa,7,MZ,1567229997,35,-15.62,30.4,75.65,4.23
Kindu,77,CD,1567229997,87,-2.95,25.92,73.85,3.96
Scarborough,43,GB,1567229997,93,54.28,-0.41,61.0,9.17
Araceli,30,PH,1567229998,53,10.55,119.99,89.33,3.02
Alice Springs,0,AU,1567229998,6,-23.7,133.88,78.8,8.05
Tobermory,0,CA,1567229998,91,45.25,-81.67,46.0,12.68
Maniitsoq,52,GL,1567229999,62,65.42,-52.9,44.51,9.31
Kununurra,0,AU,1567229999,4,-15.77,128.74,91.4,8.05
Bom Jesus,5,BR,1567229999,67,-9.08,-44.36,66.29,3.04
Puerto Ayacucho,87,CO,1567229999,80,5.66,-67.63,78.17,2.8
Sola,6,TZ,1567230000,51,-3.17,33.8,77.27,3.18
Cidreira,100,BR,1567230000,91,-30.17,-50.22,61.43,7.74
Grand Forks,1,US,1567230001,81,47.91,-97.06,53.6,6.93
Leeuwarden,0,NL,1567230001,82,53.2,5.79,62.6,6.93
Havre-Saint-Pierre,90,CA,1567230001,93,50.23,-63.6,59.0,9.17
Hithadhoo,20,MV,1567230002,71,-0.6,73.08,82.85,8.25
Vostok,100,RU,1567230002,94,46.45,135.83,61.25,4.85
Atuona,13,PF,1567230002,79,-9.8,-139.03,79.43,18.37
Koumac,38,NC,1567230003,77,-20.56,164.28,73.13,14.9
San Patricio,97,PY,1567230003,94,-26.98,-56.83,65.57,11.32
Prince Rupert,20,CA,1567230003,93,54.32,-130.32,55.4,3.36
Karhal,0,IN,1567230004,45,27.0,78.94,96.71,6.02
Sao Miguel do Araguaia,37,BR,1567229815,33,-13.28,-50.16,74.03,4.34
Mount Isa,0,AU,1567230004,12,-20.73,139.49,82.4,5.82
Chimore,20,BO,1567230005,50,-16.98,-65.13,74.03,2.91
Pleasanton,1,US,1567230005,72,37.66,-121.87,69.01,4.7
Coquimbo,0,CL,1567230005,93,-29.95,-71.34,51.8,5.82
Villers-les-Nancy,0,FR,1567229919,76,48.67,6.15,62.6,1.12
Piacabucu,4,BR,1567230006,82,-10.41,-36.43,71.87,7.38
Cajnice,0,BA,1567230006,82,43.56,19.07,59.0,3.36
Kamen-Rybolov,82,RU,1567230007,65,44.75,132.04,71.15,10.18
Kirkwall,100,GB,1567230007,93,58.98,-2.96,51.8,6.93
Paso de los Toros,0,UY,1567230007,70,-32.81,-56.52,42.53,6.6
Moshenskoye,24,RU,1567230008,85,58.52,34.59,63.41,2.89
Tabou,79,CI,1567230008,95,4.42,-7.36,73.13,2.48
Santa Isabel do Rio Negro,32,BR,1567230008,94,-0.41,-65.02,71.33,1.43
Kyren,55,RU,1567230009,31,51.68,102.13,67.19,0.81
Gberia Fotombu,83,SL,1567230009,99,9.88,-11.17,67.37,1.95
Buchanan,75,LR,1567230009,94,5.88,-10.05,75.2,9.17
Charters Towers,0,AU,1567230010,26,-20.07,146.27,81.59,6.8
Gorontalo,25,ID,1567229907,64,0.54,123.06,83.93,9.66
Paterno,0,IT,1567230011,76,42.06,13.47,75.0,6.93
Kapaa,20,US,1567230011,69,22.08,-159.32,84.2,11.41
Hinton,98,CA,1567230011,96,53.4,-117.57,44.51,2.06
Pevek,82,RU,1567230012,82,69.7,170.27,38.21,6.38
Mar del Plata,10,AR,1567230012,73,-46.43,-67.52,40.01,15.86
San Jose,90,HN,1567229939,88,14.25,-87.96,75.2,5.82
Bathsheba,20,BB,1567230013,83,13.22,-59.52,80.6,11.41
Padang,86,ID,1567230013,81,-0.92,100.36,81.41,7.47
Abu Samrah,0,SY,1567230013,43,35.3,37.18,82.49,6.85
Carauari,50,BR,1567230014,77,-4.88,-66.9,74.03,1.81
Caravelas,92,BR,1567230014,86,-17.73,-39.27,68.45,4.7
Sevierville,1,US,1567230014,100,35.87,-83.56,70.0,3.13
Diyarb Najm,0,EG,1567230015,83,30.75,31.44,78.01,3.36
Alamogordo,1,US,1567230015,53,32.9,-105.96,80.6,12.75
Roald,75,NO,1567230015,87,62.58,6.12,57.2,19.35
High Level,58,CA,1567230016,78,58.52,-117.13,51.53,3.71
Paso de Carrasco,17,UY,1567230016,93,-34.86,-56.05,50.0,3.4
Ahipara,14,NZ,1567230016,73,-35.17,173.16,55.85,14.18
Naze,99,NG,1567230017,93,5.43,7.07,74.21,3.31
Homer,90,US,1567229938,87,59.64,-151.54,55.0,6.93
Sungairaya,0,ID,1567230017,76,0.7,108.9,81.23,12.28
Ginda,75,IN,1567230018,83,30.69,78.49,84.2,3.36
Oriximina,59,BR,1567230018,72,-1.77,-55.87,79.07,4.79
Orbetello,0,IT,1567230019,83,42.44,11.21,75.0,3.36
Ancud,20,CL,1567230019,100,-41.87,-73.83,39.2,2.24
Manokwari,49,ID,1567229841,87,-0.87,134.08,77.09,2.8
Bethel,90,US,1567230020,76,60.79,-161.76,57.2,6.93
Svetlogorsk,75,RU,1567230020,57,53.14,59.15,48.2,17.9
Kamiiso,40,JP,1567230020,74,41.82,140.65,78.8,18.34
Fomboni,5,KM,1567230021,73,-12.28,43.74,76.91,8.86
Ribeira Grande,28,PT,1567230021,90,38.52,-28.7,73.67,8.5
Ambanja,75,MG,1567230021,88,-13.68,48.45,73.4,2.24
Hasaki,75,JP,1567230022,58,35.73,140.83,86.0,9.17
Lavrentiya,100,RU,1567230022,86,65.58,-170.99,46.85,5.99
Cockburn Town,37,TC,1567230022,78,21.46,-71.14,83.57,13.42
Inhambane,40,MZ,1567230023,73,-23.87,35.38,75.2,11.41
Nuuk,12,GL,1567230023,75,64.17,-51.74,41.0,2.24
Saskylakh,0,RU,1567230023,46,71.97,114.09,53.87,5.5
Manzanillo,16,MX,1567230024,75,19.05,-104.32,82.49,5.46
Edd,22,ER,1567230024,27,13.93,41.69,96.35,7.25
Kahului,20,US,1567230025,74,20.89,-156.47,82.0,14.99
Porbandar,75,IN,1567230025,89,21.64,69.61,84.2,9.17
Awbari,0,LY,1567230026,22,26.59,12.77,83.39,1.81
Camden,40,US,1567230026,100,39.94,-75.12,75.0,4.45
Teahupoo,75,PF,1567230026,74,-17.83,-149.27,80.6,10.29
Veraval,0,FR,1567230027,76,49.65,0.71,64.4,6.93
La Seyne-sur-Mer,0,FR,1567229850,68,43.1,5.88,75.0,3.36
Alice,1,ZA,1567230027,71,-32.79,26.83,50.45,7.2
Bose,0,IT,1567230028,77,45.46,8.01,72.0,5.82
College,75,US,1567230028,67,64.86,-147.8,57.2,5.82
Kirakira,100,SB,1567230029,79,-10.46,161.92,81.41,10.09
Fairlie,1,US,1567230029,94,33.31,-95.96,75.99,4.7
Ponta do Sol,8,BR,1567230029,60,-20.63,-46.0,63.23,5.03
Port Lincoln,7,AU,1567230030,69,-34.72,135.86,58.91,16.06
Xinzhou,24,CN,1567230009,25,38.41,112.73,75.83,6.06
Cooma,0,AU,1567230030,33,-36.24,149.13,59.0,12.75
Kendari,98,ID,1567230031,57,-3.99,122.52,84.11,7.27
Marabba,46,SD,1567230031,61,12.35,32.18,83.93,11.83
Prieska,0,ZA,1567230031,73,-29.67,22.74,41.27,16.26
Ermelo,26,NL,1567230032,93,52.3,5.62,61.0,1.12
Bloomington,90,US,1567230032,82,40.47,-88.99,64.99,9.17
Chipiona,12,PE,1567230032,86,-14.54,-75.2,55.49,5.08
Banikoara,100,BJ,1567230033,92,11.3,2.44,70.79,9.53
Ajaccio,0,FR,1567230033,77,41.93,8.74,73.4,8.05
Ust-Nera,70,RU,1567230034,47,64.57,143.24,48.83,2.64
Bredy,94,RU,1567230034,63,52.43,60.33,49.01,15.39
Poum,0,MK,1567230034,59,41.28,20.71,60.8,6.93
Airai,92,TL,1567230034,48,-8.93,125.41,80.33,5.61
Pathein,100,MM,1567230035,90,16.78,94.73,78.53,9.33
Radom,0,PL,1567229865,75,51.4,21.15,69.01,6.24
Belmonte,0,PT,1567230035,65,40.36,-7.35,73.0,1.61
Petrolina de Goias,0,BR,1567230036,43,-16.09,-49.34,69.8,8.05
Bastia,0,IT,1567230036,61,44.6,8.98,78.8,10.29
Liverpool,90,GB,1567229831,82,53.41,-2.98,62.01,8.05
Nikki,100,BJ,1567230036,96,9.94,3.21,71.15,3.83
Isla Mujeres,40,MX,1567230031,100,21.23,-86.73,77.0,4.7
Kutum,0,SD,1567230037,53,14.2,24.66,77.81,6.31
Santander,75,PH,1567230037,62,9.42,123.33,89.6,11.41
Kolpashevo,25,RU,1567230038,44,58.31,82.9,67.91,18.61
Klaksvik,99,FO,1567230038,100,62.23,-6.59,50.0,1.12
Gobabis,0,NA,1567230038,28,-22.45,18.97,42.8,1.12
Andros Town,40,BS,1567230039,78,24.73,-77.79,82.4,5.82
San Quintin,99,PH,1567230039,83,17.54,120.52,79.79,4.5
Mazara del Vallo,20,IT,1567230040,83,37.65,12.59,73.0,4.7
Robstown,75,US,1567230040,94,27.79,-97.67,84.99,9.57
Georgetown,0,GY,1567229975,100,6.8,-58.16,75.2,3.38
Abu Zabad,79,SD,1567230041,65,12.35,29.25,80.69,6.46
San Vicente,20,EC,1567230041,88,-0.59,-80.41,68.0,6.93
Iqaluit,90,CA,1567230041,100,63.75,-68.52,41.0,11.41
Sibolga,100,ID,1567230042,76,1.74,98.78,81.95,3.67
Dongsheng,100,CN,1567230042,61,29.72,112.52,74.21,10.65
Torbay,90,CA,1567230042,100,47.66,-52.73,66.99,13.87
Magdagachi,83,RU,1567230042,35,53.45,125.8,69.53,4.81
Hambantota,40,LK,1567230043,70,6.12,81.12,87.8,17.22
Port Blair,75,IN,1567230043,79,11.67,92.75,86.0,13.87
Kailua,1,US,1567230043,69,21.39,-157.74,84.2,9.17
Fergus Falls,1,US,1567229834,76,46.28,-96.08,60.8,4.7
Birjand,0,IR,1567230044,23,32.86,59.22,73.4,13.87
Los Llanos de Aridane,90,ES,1567230044,69,28.66,-17.92,73.4,13.87
Hamilton,40,CA,1567229995,87,43.26,-79.87,62.01,3.36
Steinbach,75,CA,1567230045,62,49.53,-96.69,57.2,5.82
Hastings,0,NZ,1567230045,92,-39.64,176.84,44.51,2.37
Douentza,83,ML,1567230045,71,15.01,-2.95,79.61,5.1
Provideniya,100,RU,1567230046,71,64.42,-173.23,48.65,10.0
Sioux Lookout,5,CA,1567230046,100,50.1,-91.92,51.8,2.24
Ballina,75,IE,1567230047,100,54.11,-9.15,54.0,13.87
Mwene-Ditu,94,CD,1567230047,68,-7.01,23.45,73.85,5.97
Yar-Sale,100,RU,1567230047,85,66.83,70.83,48.47,15.84
Aykhal,75,RU,1567230048,63,65.95,111.51,60.8,2.24
Panguna,96,PG,1567230048,78,-6.32,155.48,82.13,15.43
Nieuw Amsterdam,0,SR,1567230048,94,5.88,-55.08,77.0,4.7
Kiunga,81,PG,1567230049,72,-6.12,141.3,83.03,3.94
Thompson,75,CA,1567230049,93,55.74,-97.86,41.0,0.6
Banda Aceh,94,ID,1567230050,78,5.56,95.32,83.21,23.53
Carutapera,79,BR,1567230051,82,-1.2,-46.02,77.45,6.73
Nizhnyaya Poyma,100,RU,1567230051,89,56.16,97.2,65.39,4.23
Jammalamadugu,75,IN,1567230052,62,14.85,78.38,87.8,19.46
Nemuro,75,JP,1567230052,100,43.32,145.57,64.4,4.7
Natal,40,BR,1567230052,88,-5.81,-35.21,71.6,4.7
Jiexiu,0,CN,1567230053,28,37.02,111.92,77.81,5.23
Trelew,33,AR,1567230053,58,-43.25,-65.31,43.97,15.21
Birao,95,CF,1567230053,91,10.3,22.78,73.85,3.02
Talara,1,PE,1567230054,93,-4.58,-81.27,62.33,14.14
Xichang,100,CN,1567230054,95,27.88,102.25,56.03,2.53
Waipawa,0,NZ,1567230054,92,-39.94,176.59,44.51,2.37
Sur,15,OM,1567229976,31,22.57,59.53,94.19,11.86
Lodja,94,CD,1567230055,89,-3.52,23.6,72.41,3.44
Salamanca,40,MX,1567230055,59,20.57,-101.19,66.2,5.82
Mayor Pablo Lagerenza,0,PY,1567230056,43,-19.93,-60.77,76.37,4.74
Najran,0,SA,1567229965,15,17.54,44.22,87.8,4.7
Gimli,39,CA,1567230056,69,50.63,-96.99,55.99,4.85
Port-Gentil,75,GA,1567230057,88,-0.72,8.78,77.0,12.75
Arinos,69,BR,1567230057,58,-15.92,-46.11,63.05,5.95
Bogotol,5,RU,1567230057,44,56.21,89.53,73.49,6.67
Tevaitoa,26,PF,1567230058,81,-16.78,-151.5,76.73,12.39
Phek,100,IN,1567230058,72,25.7,94.46,86.63,2.89
Naryan-Mar,0,RU,1567230058,67,67.67,53.09,46.85,4.23
Komsomolskiy,100,RU,1567230059,87,67.55,63.78,46.67,16.2
Piranhas,0,BR,1567230059,36,-16.43,-51.82,71.51,1.92
Narsaq,10,GL,1567230059,70,60.91,-46.05,42.8,3.36
Mitsamiouli,20,KM,1567230060,78,-11.38,43.28,75.2,2.24
Chuzhou,100,CN,1567230060,72,32.25,118.33,78.35,9.84
Huarmey,67,PE,1567230060,93,-10.07,-78.15,59.63,13.06
Tura,21,RU,1567230060,44,64.27,100.22,59.45,5.79
Sao Luis do Quitunde,40,BR,1567230061,94,-9.32,-35.56,69.8,2.24
Puerto del Rosario,40,ES,1567230061,83,28.5,-13.86,73.4,16.11
Katsuura,75,JP,1567230061,73,33.93,134.5,77.0,2.24
Freeport,13,BS,1567230062,76,26.54,-78.7,84.47,16.78
Khani,40,GE,1567230062,94,41.96,42.96,68.0,2.24
Qasigiannguit,0,GL,1567230062,30,68.82,-51.19,42.8,27.51
Gulu,48,UG,1567230063,90,2.77,32.3,69.53,3.11
Shelburne,1,CA,1567230063,76,44.08,-80.2,62.01,5.82
Batagay-Alyta,18,RU,1567230063,47,67.8,130.41,51.71,4.14
Moranbah,6,AU,1567230064,28,-22.0,148.04,79.79,7.47
Beloha,0,MG,1567230064,35,-25.17,45.06,78.17,2.84
Simao,97,CN,1567230064,62,22.76,100.79,81.05,2.89
Ouallam,92,NE,1567230065,65,14.32,2.08,81.59,9.04
Nara,75,JP,1567230065,54,34.68,135.8,87.01,6.93
Uribia,10,CO,1567230065,76,11.71,-72.27,81.23,7.67
Kandla,78,IN,1567230066,66,23.02,70.21,88.61,8.9
Bandarbeyla,16,SO,1567230066,44,9.49,50.81,88.43,28.57
Perth,40,AU,1567229929,52,-31.95,115.86,68.0,14.99
Margate,0,AU,1567230067,36,-43.03,147.26,64.0,17.22
Asyut,0,EG,1567230067,44,27.18,31.19,78.8,11.41
Livadiya,41,RU,1567230067,70,42.87,132.68,69.89,7.36
Pital,62,CO,1567230068,90,2.27,-75.81,53.51,4.32
Mandalgovi,0,MN,1567230068,24,45.76,106.27,75.83,4.63
Biharamulo,40,TZ,1567230068,51,-2.64,31.31,73.85,3.69
Clyde,11,NZ,1567230069,43,-45.19,169.32,57.99,1.99
Cabo San Lucas,75,MX,1567230069,78,22.89,-109.91,84.0,6.93
Corbelia,43,BR,1567230069,50,-24.8,-53.31,69.35,9.13
Rio Gallegos,0,AR,1567230070,80,-51.62,-69.22,39.2,21.92
Richards Bay,99,ZA,1567230070,86,-28.77,32.06,68.99,3.89
Gardenstown,100,GB,1567230070,87,57.67,-2.34,59.0,17.22
Broome,0,GB,1567230071,93,52.47,1.45,60.01,9.17
Bowen,1,AU,1567230071,53,-20.01,148.25,77.0,14.99
Lamu,46,CN,1567230071,43,35.77,102.37,65.57,1.39
Tual,100,ID,1567230072,83,-5.67,132.75,75.47,11.72
Zvishavane,16,ZW,1567230072,33,-20.32,30.05,73.13,7.61
Zhigansk,1,RU,1567230072,48,66.77,123.37,63.59,4.9
Nagato,75,JP,1567230073,58,34.35,131.14,82.99,10.29
Mecca,6,SA,1567230073,51,21.43,39.83,88.97,4.43
Karratha,80,AU,1567229905,20,-20.74,116.85,89.51,7.85
Opuwo,0,NA,1567230073,43,-18.06,13.84,55.85,0.31
Redlands,1,US,1567230074,49,34.06,-117.19,79.0,3.56
Ust-Omchug,100,RU,1567230074,89,61.13,149.63,44.51,1.61
Morris,1,US,1567230074,87,45.59,-95.91,60.8,3.36
Port Macquarie,90,AU,1567229927,59,-31.43,152.91,68.0,5.82
Leh,4,IN,1567230075,27,34.16,77.58,57.11,7.87
Ozinki,80,RU,1567230075,63,51.2,49.73,56.03,7.36
Vanersborg,100,SE,1567229966,100,58.38,12.32,64.0,8.05
Tateyama,40,JP,1567230076,58,36.66,137.31,86.0,4.7
Lusambo,93,CD,1567230076,83,-4.97,23.44,73.67,4.07
Enterprise,1,US,1567230077,11,36.05,-115.22,96.8,4.7
Sambava,97,MG,1567230077,67,-14.27,50.17,70.43,2.26
San Miguel,20,AR,1567230077,93,-34.54,-58.72,53.6,5.35
Yining,100,CN,1567230077,38,29.04,114.56,88.07,3.11
